Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-11-08 15:50:10,false,"Svedala Running","9.98","778","01:05:52","153","169","3.7","144","197","6:36","3:09","182","164","1.07","8.3","8.7","365","50.3% L / 49.8% R","6:24","343","0.0","300","672","--","--","--","9,274","-11","No","00:05:40.1","10","35","23","44","01:04:06","01:05:52","28","71"
Pool Swim,2025-11-05 19:06:45,false,"Pool Swim","1,100","375","00:34:01","130","155","2.8","--","--","2:17","2:08","--","--","--","--","--","--","--","--","--","0.0","--","--","623","100","27","--","--","No","00:00:02.3","23","--","--","--","00:25:46","00:34:53","--","--"
Running,2025-11-02 10:08:03,false,"Malmo Running","19.70","1,418","02:03:17","143","155","3.8","166","175","6:15","5:10","112","113","0.95","7.8","7.6","299","50.2% L / 49.8% R","6:15","299","0.0","296","395","--","--","--","20,474","-13","No","00:04:18.6","20","33","25","45","02:02:57","02:03:17","15","50"
Running,2025-11-01 09:43:30,false,"Malmo Running","5.03","355","00:28:59","143","170","3.0","167","178","5:45","4:27","3","6","1.04","7.8","8.3","291","49.7% L / 50.3% R","5:46","333","0.0","323","459","--","--","--","4,780","-7","No","00:00:09.4","6","30","26","44","00:28:43","00:28:59","--","6"
Running,2025-10-26 10:55:20,false,"Svedala Running","12.18","874","01:02:30","165","174","4.4","172","199","5:08","3:50","149","146","1.13","7.3","8.5","279","50.2% L / 49.8% R","5:05","390","0.0","383","615","--","--","--","10,668","-17","No","00:00:41.9","13","41","26","46","01:02:27","01:02:30","38","77"
Pool Swim,2025-10-22 19:26:07,false,"Pool Swim","500","164","00:13:02","136","150","2.2","--","--","2:34","2:26","--","--","--","--","--","--","--","--","--","0.0","--","--","317","109","25","--","--","No","00:00:11.5","2","--","--","--","00:12:50","00:14:07","--","--"
Running,2025-10-22 18:26:02,false,"Malmo - Coopah Taper Run: 10 X 2min","5.83","420","00:36:59","142","169","2.9","155","197","6:21","3:25","29","30","1.01","7.7","7.6","326","49.3% L / 50.7% R","6:19","347","0.0","292","596","--","--","--","5,578","-6","No","00:00:00.3","26","33","15","44","00:36:30","00:36:59","7","17"
Running,2025-10-18 09:39:05,false,"Malmo Running","5.04","338","00:26:14","153","174","3.1","170","192","5:12","3:53","5","8","1.12","8.0","8.9","265","--","5:16","357","0.0","351","490","--","--","--","4,458","-5","No","00:00:09.6","6","--","--","--","00:26:05","00:26:14","1","7"
Indoor Cycling,2025-10-17 17:17:18,false,"Indoor Cycling","0.00","110","00:21:48","97","110","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","-2","No","00:21:48","1","--","--","--","00:00:00","00:21:48","--","--"
Pool Swim,2025-10-15 18:43:45,false,"Pool Swim","600","166","00:18:23","118","143","1.5","--","--","2:27","2:16","--","--","--","--","--","--","--","--","--","0.0","--","--","381","105","26","--","--","No","00:00:10.4","6","--","--","--","00:14:44","00:19:20","--","--"
